__Area,__AssetID_norm,Asset Type,PoF,CoF_USD_v2,Annual_Risk_USD_v2,RepCost_best,__RxYear,Years_to_Rx,Rx_urgency01,Asset Risk Score,Governing COF Score,_exp,_cmp,Compliance_rate
SS-liquid,110610,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5778218310559565,12000.0,6933.861972671479,50174.09,,,0.0,25.0,5.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110593,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5778218310559565,12000.0,6933.861972671479,50174.09,,,0.0,25.0,5.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110600,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5778218310559565,12000.0,6933.861972671479,50174.09,,,0.0,25.0,5.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110605,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5778218310559565,12000.0,6933.861972671479,50174.09,,,0.0,25.0,5.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110615,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5778218310559565,12000.0,6933.861972671479,46628.77,,,0.0,25.0,5.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110625,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5778218310559565,12000.0,6933.861972671479,46628.77,,,0.0,25.0,5.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110630,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5778218310559565,12000.0,6933.861972671479,46628.77,,,0.0,25.0,5.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110547,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110552,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110541,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110577,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110562,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110572,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110567,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110557,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5777152711130775,12000.0,6932.58325335693,313008.38,,,0.0,25.0,5.0,503.65503080082135,38,0.0754484670580561
JI-biosolids,105774,"PUMP DRY, PROGRESSING CAVITY",0.5761942325732444,12000.0,6914.330790878933,33806.37,,,0.0,25.0,5.0,404.7227926078029,42,0.10377473363774734
Conveyance,108964,"PUMP, CENTRIFUGAL",0.576169343688786,12000.0,6914.032124265433,5055552.97,,,0.0,25.0,5.0,47.96714579055441,5,0.10423801369863014
Conveyance,108956,"PUMP, CENTRIFUGAL",0.576169343688786,12000.0,6914.032124265433,5055552.97,,,0.0,25.0,5.0,47.96714579055441,5,0.10423801369863014
Conveyance,108948,"PUMP, CENTRIFUGAL",0.5750489457468612,12000.0,6900.587348962334,5055552.97,,,0.0,25.0,5.0,47.96714579055441,6,0.12508561643835617
JI-ips,105666,"PUMP, CENTRIFUGAL",0.5734976152860073,12000.0,6881.971383432087,99479.77,2032.0,8.0,0.2,15.0,5.0,1250.1437371663244,57,0.04559475707105549
JI-liquid,103897,"PUMP, SUBMERSIBLE, SCREW",0.5724822671919412,12000.0,6869.787206303294,477236.0,,,0.0,25.0,5.0,399.3264887063655,69,0.17279094162655806
SS-biosolids,114003,"PUMP DRY, DIAPHRAGM",0.5705674403825598,12000.0,6846.809284590718,68205.83,,,0.0,15.0,3.0,0.0,13,0.0
JI-biosolids,117270,"PUMP, CENTRIFUGAL",0.5705674403825598,12000.0,6846.809284590718,0.0,,,0.0,15.0,3.0,491.66324435318273,0,0.0
JI-biosolids,117271,"PUMP, CENTRIFUGAL",0.5705674403825598,12000.0,6846.809284590718,0.0,,,0.0,15.0,3.0,491.66324435318273,0,0.0
SS-biosolids,114009,"PUMP DRY, DIAPHRAGM",0.5705674403825598,12000.0,6846.809284590718,68205.83,,,0.0,15.0,3.0,0.0,13,0.0
SS-biosolids,114004,"PUMP DRY, DIAPHRAGM",0.5705674403825598,12000.0,6846.809284590718,68205.83,,,0.0,15.0,3.0,0.0,14,0.0
SS-biosolids,114008,"PUMP DRY, DIAPHRAGM",0.5705674403825598,12000.0,6846.809284590718,68205.83,,,0.0,15.0,3.0,0.0,15,0.0
SS-biosolids,114005,"PUMP DRY, DIAPHRAGM",0.5705674403825598,12000.0,6846.809284590718,68205.83,,,0.0,15.0,3.0,0.0,13,0.0
SS-biosolids,114006,"PUMP DRY, DIAPHRAGM",0.5705674403825598,12000.0,6846.809284590718,103159.19,,,0.0,15.0,3.0,0.0,14,0.0
JI-biosolids,107784,"PUMP DRY, PROGRESSING CAVITY",0.5704342467016846,12000.0,6845.210960420216,1351.15,,,0.0,15.0,3.0,404.7227926078029,1,0.0024708269913749363
JI-liquid,105158,"PUMP, CENTRIFUGAL",0.5691119089824468,12000.0,6829.342907789362,110875.0,2035.0,11.0,0.0,15.0,5.0,1778.381930184805,48,0.026990827552443676
JI-liquid,105154,"PUMP, CENTRIFUGAL",0.5691119089824468,12000.0,6829.342907789362,110875.0,2035.0,11.0,0.0,15.0,5.0,1778.381930184805,48,0.026990827552443676
JI-liquid,105152,"PUMP, CENTRIFUGAL",0.5691119089824468,12000.0,6829.342907789362,110875.0,2035.0,11.0,0.0,15.0,5.0,1778.381930184805,48,0.026990827552443676
JI-liquid,105156,"PUMP, CENTRIFUGAL",0.5691119089824468,12000.0,6829.342907789362,110875.0,2035.0,11.0,0.0,15.0,5.0,1778.381930184805,48,0.026990827552443676
SS-liquid,111187,"PUMP, CENTRIFUGAL",0.5688700343456224,12000.0,6826.440412147469,68466.45,,,0.0,15.0,3.0,1620.3901437371662,51,0.0314739016385133
SS-liquid,111183,"PUMP, CENTRIFUGAL",0.5688700343456224,12000.0,6826.440412147469,68466.32,,,0.0,15.0,3.0,1620.3901437371662,51,0.0314739016385133
SS-liquid,110919,"PUMP, CENTRIFUGAL",0.5688367355584814,12000.0,6826.0408267017765,68466.32,,,0.0,15.0,3.0,1620.3901437371662,52,0.03209103696475866
SS-liquid,111181,"PUMP, CENTRIFUGAL",0.5688367355584814,12000.0,6826.0408267017765,68466.32,,,0.0,15.0,3.0,1620.3901437371662,52,0.03209103696475866
SS-liquid,110913,"PUMP, CENTRIFUGAL",0.5688034361489169,12000.0,6825.641233787003,68466.45,,,0.0,15.0,3.0,1620.3901437371662,53,0.03270817229100402
JI-power,105661,"PUMP, CENTRIFUGAL",0.5683184431487184,12000.0,6819.82131778462,26809.35,,,0.0,15.0,3.0,71.95071868583162,3,0.04169520547945206
JI-power,110198,"PUMP, CENTRIFUGAL",0.5683184431487184,12000.0,6819.82131778462,89739.74,,,0.0,15.0,3.0,71.95071868583162,3,0.04169520547945206
JI-power,105650,"PUMP, CENTRIFUGAL",0.5683184431487184,12000.0,6819.82131778462,26809.35,,,0.0,15.0,3.0,71.95071868583162,3,0.04169520547945206
SS-liquid,110602,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5667102844653334,12000.0,6800.523413584001,34903.71,,,0.0,15.0,3.0,503.65503080082135,36,0.0714774951076321
SS-liquid,110611,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5667102844653334,12000.0,6800.523413584001,23996.3,,,0.0,15.0,3.0,503.65503080082135,36,0.0714774951076321
